Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Month;Year
19;CA-2014-143336;27.08.2014;09.01.2014;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;20668;2;0%;24824;avq;2014
20;CA-2014-143336;27.08.2014;09.01.2014;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213;3;20%;16011;avq;2014
21;CA-2014-143336;27.08.2014;09.01.2014;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";23;4;20%;7384;avq;2014
22;CA-2016-137330;12.09.2016;13.12.2016;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19;7;0%;50596;sen;2016
23;CA-2016-137330;12.09.2016;13.12.2016;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60;7;0%;156884;sen;2016
24;US-2017-156909;16.07.2017;18.07.2017;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71372;2;30%;-10196;iyl;2017
25;CA-2015-106320;25.09.2015;30.09.2015;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1045;3;0%;2402649;sen;2015
26;CA-2016-121755;16.01.2016;20.01.2016;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11648;2;20%;42224;yan;2016
27;CA-2016-121755;16.01.2016;20.01.2016;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;91;3;0%;117741;yan;2016
28;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083;7;50%;-16650522;sen;2015
29;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9618;2;70%;-70532;sen;2015
30;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124;3;20%;15525;sen;2015
31;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3264;2;20%;11016;sen;2015
32;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86304;6;20%;97092;sen;2015
33;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6858;6;70%;-5715;sen;2015
34;US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;16;2;20%;3546;sen;2015
35;CA-2017-107727;19.10.2017;23.10.2017;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;29472;3;20%;99468;okt;2017
36;CA-2016-117590;12.08.2016;12.10.2016;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1097544;7;20%;1234737;avq;2016
37;CA-2016-117590;12.08.2016;12.10.2016;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;191;5;60%;-147963;avq;2016
38;CA-2015-117415;27.12.2015;31.12.2015;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113328;9;20%;35415;dek;2015
39;CA-2015-117415;27.12.2015;31.12.2015;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;5323992;3;32%;-469764;dek;2015
40;CA-2015-117415;27.12.2015;31.12.2015;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;Global Fabric Manager's Chair, Dark Gray;212058;3;30%;-15147;dek;2015
41;CA-2015-117415;27.12.2015;31.12.2015;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;Plantronics HL10 Handset Lifter;371168;4;20%;417564;dek;2015
42;CA-2017-120999;09.10.2017;15.09.2017;Standard Class;LC-16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;147168;4;20%;165564;okt;2017
43;CA-2016-101343;17.07.2016;22.07.2016;Standard Class;RA-19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFF-ST-10003479;Office Supplies;Storage;Eldon Base for stackable storage shelf, platinum;78;2;0%;3894;iyl;2016
44;CA-2017-139619;19.09.2017;23.09.2017;Standard Class;ES-14080;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;OFF-ST-10003282;Office Supplies;Storage;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95616;2;20%;95616;sen;2017
45;CA-2016-118255;03.11.2016;13.03.2016;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;46;2;0%;197714;noy;2016
46;CA-2016-118255;03.11.2016;13.03.2016;First Class;ON-18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17;2;0%;82062;noy;2016
47;CA-2014-146703;20.10.2014;25.10.2014;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;212;4;0%;84784;okt;2014
48;CA-2016-169194;20.06.2016;25.06.2016;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3;0%;34790;iyn;2016
49;CA-2016-169194;20.06.2016;25.06.2016;Standard Class;LH-16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;46255;2;0%;6104;iyn;2016
50;CA-2015-115742;18.04.2015;22.04.2015;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38;6;0%;179634;apr;2015
51;CA-2015-115742;18.04.2015;22.04.2015;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;75;6;0%;353346;apr;2015
52;CA-2015-115742;18.04.2015;22.04.2015;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;42522;2;0%;29568;apr;2015
53;CA-2015-115742;18.04.2015;22.04.2015;Standard Class;DP-13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;90;1;0%;170981;apr;2015
54;CA-2016-105816;12.11.2016;17.12.2016;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15;7;0%;62566;noy;2016
55;CA-2016-105816;12.11.2016;17.12.2016;Standard Class;JM-15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1030;5;0%;2986855;noy;2016
56;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;209;6;0%;52;iyn;2016
57;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;32;5;0%;15552;iyn;2016
58;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;319;5;10%;7098;iyn;2016
59;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;15;2;0%;69888;iyn;2016
60;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30;2;0%;46084;iyn;2016
61;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;48;4;20%;16362;iyn;2016
62;CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;24838;1;0%;1;iyn;2016
63;CA-2015-135545;24.11.2015;30.11.2015;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;14;2;0%;61512;noy;2015
64;CA-2015-135545;24.11.2015;30.11.2015;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-BI-10001078;Office Supplies;Binders;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";25824;6;20%;93612;noy;2015
65;CA-2015-135545;24.11.2015;30.11.2015;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;147;3;0%;689631;noy;2015
66;CA-2015-135545;24.11.2015;30.11.2015;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;80;4;0%;223328;noy;2015
67;US-2015-164175;30.04.2015;05.05.2015;Standard Class;PS-18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Manager's Chair, Gray;213115;5;30%;-152225;apr;2015
68;CA-2014-106376;12.05.2014;12.10.2014;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1113024;8;20%;1113024;may;2014
69;CA-2014-106376;12.05.2014;12.10.2014;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;167968;4;20%;62988;may;2014
70;CA-2016-119823;06.04.2016;06.06.2016;First Class;KD-16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;76;2;0%;356636;apr;2016
71;CA-2016-106075;18.09.2016;23.09.2016;Standard Class;HM-14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4616;1;20%;1731;sen;2016
72;CA-2017-114440;14.09.2017;17.09.2017;Second Class;TB-21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;OFF-PA-10004675;Office Supplies;Paper;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";46161;3;0%;8763;sen;2017
73;US-2015-134026;26.04.2015;05.02.2015;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Manager's Chair;831936;8;20%;-1143912;apr;2015
74;US-2015-134026;26.04.2015;05.02.2015;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FUR-FU-10003708;Furniture;Furnishings;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";97;2;20%;1213;apr;2015
75;US-2015-134026;26.04.2015;05.02.2015;Standard Class;JE-15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72784;1;20%;-18196;apr;2015
76;US-2017-118038;12.09.2017;12.11.2017;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1248;3;80%;-19344;sen;2017
77;US-2017-118038;12.09.2017;12.11.2017;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6"" Cubicle Wall Clock, Black";9708;3;60%;-58248;sen;2017
78;US-2017-118038;12.09.2017;12.11.2017;First Class;KB-16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27;3;20%;2724;sen;2017
79;US-2014-147606;26.11.2014;12.01.2014;Second Class;JE-15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;46100;5;60%;-14475;noy;2014
80;CA-2016-127208;06.12.2016;15.06.2016;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-AP-10002118;Office Supplies;Appliances;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";208;1;0%;562032;dek;2016
81;CA-2016-127208;06.12.2016;15.06.2016;First Class;SC-20770;Stewart Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;17;3;0%;80352;dek;2016
82;CA-2014-139451;10.12.2014;16.10.2014;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;46279;5;0%;4172;dek;2014
83;CA-2014-139451;10.12.2014;16.10.2014;Standard Class;DN-13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21;1;0%;62031;dek;2014
84;CA-2015-149734;09.03.2015;09.08.2015;Standard Class;JC-16105;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;200984;7;20%;628075;mar;2015
85;US-2017-119662;13.11.2017;16.11.2017;First Class;CS-12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230376;3;20%;-489549;noy;2017
86;CA-2017-140088;28.05.2017;30.05.2017;Second Class;PO-18865;Patrick O'Donnell;Consumer;United States;Columbia;South Carolina;29203;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;302;2;0%;332156;may;2017
87;CA-2017-155558;26.10.2017;11.02.2017;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;20;1;0%;67966;okt;2017
88;CA-2017-155558;26.10.2017;11.02.2017;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;42522;2;0%;29568;okt;2017
89;CA-2016-159695;04.05.2016;04.10.2016;Second Class;GM-14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158368;7;20%;138572;may;2016
90;CA-2016-109806;17.09.2016;22.09.2016;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;46042;3;0%;6633;sen;2016
91;CA-2016-109806;17.09.2016;22.09.2016;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73584;2;20%;82782;sen;2016
92;CA-2016-109806;17.09.2016;22.09.2016;Standard Class;JS-15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;17685;1;0%;31104;sen;2016
93;CA-2015-149587;31.01.2015;02.05.2015;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;35400;2;0%;62208;yan;2015
94;CA-2015-149587;31.01.2015;02.05.2015;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;FUR-FU-10003799;Furniture;Furnishings;"Seth Thomas 13 1/2"" Wall Clock";53;3;0%;165354;yan;2015
95;CA-2015-149587;31.01.2015;02.05.2015;Second Class;KB-16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;33;2;0%;161504;yan;2015
96;US-2017-109484;11.06.2017;11.12.2017;Standard Class;RB-19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5682;1;70%;-3788;iyn;2017
97;CA-2017-161018;11.09.2017;11.11.2017;Second Class;PN-18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;97;7;0%;405426;sen;2017
98;CA-2017-157833;17.06.2017;20.06.2017;First Class;KD-16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51312;3;20%;179592;iyn;2017
99;CA-2016-149223;09.06.2016;09.11.2016;Standard Class;ER-13855;Elpida Rittenbach;Corporate;United States;Saint Paul;Minnesota;55106;Central;OFF-AP-10000358;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;78;6;0%;225852;iyn;2016
100;CA-2016-158568;29.08.2016;09.02.2016;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64624;7;20%;226184;avq;2016
101;CA-2016-158568;29.08.2016;09.02.2016;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;TEC-AC-10001767;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95976;3;20%;-107973;avq;2016
102;CA-2016-158568;29.08.2016;09.02.2016;Standard Class;RB-19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFF-BI-10002609;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1788;3;80%;-30396;avq;2016
103;CA-2016-129903;12.01.2016;12.04.2016;Second Class;GZ-14470;Gary Zandusky;Consumer;United States;Rochester;Minnesota;55901;Central;OFF-PA-10004040;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);24;4;0%;117208;yan;2016
104;US-2015-156867;13.11.2015;17.11.2015;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;TEC-AC-10001552;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238896;6;20%;-268758;noy;2015
105;US-2015-156867;13.11.2015;17.11.2015;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;FUR-FU-10004006;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102;3;20%;-38385;noy;2015
106;US-2015-156867;13.11.2015;17.11.2015;Standard Class;LC-16870;Lena Cacioppo;Consumer;United States;Aurora;Colorado;80013;West;OFF-BI-10002794;Office Supplies;Binders;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";36882;3;70%;-258174;noy;2015
